id	start_ener	final_ener	rms
N5Q	 -210.90	 -224.26	   0.433
O77	  -37.42	  -47.17	   0.433
OS9	   -1.36	  -17.02	   0.433
P7M	 -175.40	 -185.10	   0.433
PFW	  -26.60	  -46.65	   0.433
PV4	  -14.20	  -18.82	   0.433
QH1	 -134.32	 -159.25	   0.433
R3N	  -71.22	  -95.21	   0.433
RFV	    6.69	  -33.88	   0.433
S1Q	  -71.59	  -84.95	   0.433
TKI	  -44.34	  -53.92	   0.433
U91	  -70.18	  -86.24	   0.433
UEO	  -48.45	  -70.28	   0.433
VLC	  -34.62	  -59.86	   0.433
W4L	  -20.50	  -27.03	   0.433
W5J	  -75.24	  -93.69	   0.433
W7W	 -263.19	 -284.16	   0.433
W82	 -140.50	 -148.12	   0.433
XA0	 -140.64	 -152.27	   0.433
XEB	 -115.44	 -125.08	   0.433
YT0	   -5.62	  -29.77	   0.433
ZO5	  -10.98	  -28.95	   0.433
0YP	   23.67	    0.21	   0.434
303	  -85.57	  -99.84	   0.434
3SV	  -21.92	  -41.48	   0.434
4ZG	 -240.26	 -254.31	   0.434
57W	  -52.74	  -71.78	   0.434
5QE	  -76.43	  -94.12	   0.434
5VU	  -28.49	  -37.46	   0.434
6BH	  -16.56	  -26.77	   0.434
6E4	  -30.52	  -38.60	   0.434
8F1	 -122.96	 -132.15	   0.434
91Y	   68.85	   46.22	   0.434
AGR	  101.52	   54.91	   0.434
C1P	  -50.43	  -67.43	   0.434
D7B	   55.25	   39.01	   0.434
FT0	   -3.74	   -9.25	   0.434
H2K	   31.06	   14.38	   0.434
H6A	   -7.80	  -25.38	   0.434
HBT	  -65.32	  -76.71	   0.434
HIE	  -90.26	 -105.19	   0.434
HR2	  -29.18	  -56.94	   0.434
I2R	  -40.29	  -53.34	   0.434
ISX	   86.98	   72.73	   0.434
J2F	   12.21	   -1.53	   0.434
J2L	 -112.01	 -125.15	   0.434
JJJ	  -26.03	  -36.38	   0.434
JS1	   25.59	    7.14	   0.434
KS0	   29.55	   18.77	   0.434
N12	   -1.59	  -24.84	   0.434
NE7	  -43.45	  -60.72	   0.434
NKI	 -142.39	 -148.06	   0.434
NN6	 -402.57	 -433.01	   0.434
O34	   -0.73	  -26.70	   0.434
Q7K	  -69.51	  -92.94	   0.434
RZM	  139.93	  115.16	   0.434
ULV	 -155.12	 -176.53	   0.434
V6H	 -153.79	 -179.82	   0.434
WJ2	  -25.04	  -30.09	   0.434
XTI	   -2.17	  -16.15	   0.434
ZVU	  -11.10	  -21.35	   0.434
12H	  -37.63	  -54.39	   0.435
1X6	  -39.72	  -51.93	   0.435
2W4	   13.45	   -5.85	   0.435
33A	  -12.31	  -34.19	   0.435
4MH	 -326.94	 -348.26	   0.435
5DX	   10.15	   -7.98	   0.435
7DX	  -74.15	  -94.95	   0.435
7SC	 -227.00	 -243.60	   0.435
AWZ	  -28.16	  -52.05	   0.435
BVV	 -240.73	 -286.62	   0.435
CCZ	 -203.28	 -215.29	   0.435
D6C	   56.81	   41.25	   0.435
D89	  -94.31	 -110.04	   0.435
EJN	   70.06	   50.32	   0.435
FE0	   -8.64	  -16.51	   0.435
G8Z	   76.21	   56.38	   0.435
H5Q	   31.42	   17.49	   0.435
H6S	  -48.44	  -68.87	   0.435
H9F	   26.85	  -15.19	   0.435
J4I	  -10.50	  -25.60	   0.435
K56	  -28.53	  -51.90	   0.435
K5N	 -204.83	 -220.05	   0.435
KPK	  -33.26	  -57.13	   0.435
MWX	 -127.19	 -152.37	   0.435
NDZ	   54.76	   25.56	   0.435
NK0	  -45.81	  -61.74	   0.435
NN9	 -188.70	 -197.11	   0.435
Q0W	  -92.12	 -101.26	   0.435
QWZ	   34.35	   19.05	   0.435
RD1	 -866.62	 -905.14	   0.435
TOP	 -140.84	 -151.58	   0.435
VE5	  -23.43	  -37.52	   0.435
W68	 -145.99	 -152.05	   0.435
X0Q	 -143.17	 -167.12	   0.435
XB8	   22.33	    8.87	   0.435
XFD	   24.31	    6.69	   0.435
17V	  -31.67	  -48.54	   0.436
5RD	 -102.11	 -114.15	   0.436
7XJ	 -166.32	 -175.54	   0.436
8KU	  -24.01	  -46.12	   0.436
8Y6	  -90.99	 -120.18	   0.436
9J4	 -169.54	 -193.57	   0.436
9J5	   -6.29	  -19.05	   0.436
9YY	 -296.73	 -310.10	   0.436
AQW	  -28.29	  -36.40	   0.436
B03	   43.97	   26.66	   0.436
BL7	  -24.04	  -42.12	   0.436
BUQ	   -4.52	   -8.30	   0.436
CRI	   35.40	   16.82	   0.436
D4H	   13.67	    8.60	   0.436
E33	  -73.24	  -89.36	   0.436
EDV	  -86.07	  -97.46	   0.436
I0T	  -22.50	  -46.25	   0.436
II0	  -11.83	  -28.94	   0.436
IO9	    3.78	   -5.34	   0.436
J7J	  -19.76	  -41.99	   0.436
JKL	   -6.56	  -18.98	   0.436
K18	  -68.68	  -86.38	   0.436
MRE	  -51.85	  -67.88	   0.436
NPG	  -72.07	  -94.05	   0.436
NUE	 -254.24	 -273.30	   0.436
NZ8	  -83.91	 -101.04	   0.436
O25	  -95.02	 -107.67	   0.436
O3J	   29.99	   18.69	   0.436
OQS	  -41.86	  -67.38	   0.436
P0F	 -129.99	 -136.16	   0.436
QBM	   10.71	    2.31	   0.436
QDZ	  -20.18	  -35.16	   0.436
SU6	  -63.69	  -86.13	   0.436
SZA	  -24.49	  -30.79	   0.436
VA0	   21.64	  -35.08	   0.436
X1V	 -105.22	 -124.94	   0.436
XTZ	 -442.47	 -463.25	   0.436
YRC	  -52.18	  -74.24	   0.436
0TO	  -55.21	  -70.81	   0.437
2B5	  -69.24	  -83.47	   0.437
353	 -209.43	 -230.58	   0.437
3D6	   -8.17	  -16.87	   0.437
3OP	   17.52	   12.34	   0.437
4OA	   -8.84	  -35.85	   0.437
4OV	   11.41	  -15.53	   0.437
5W9	  -90.86	 -112.27	   0.437
678	 -122.88	 -153.19	   0.437
6N3	 -256.27	 -269.96	   0.437
6UL	   11.79	    5.13	   0.437
7QC	  -19.32	  -30.89	   0.437
7ZK	   -2.46	  -17.83	   0.437
9BR	  -59.97	  -71.47	   0.437
9IK	  -57.36	  -68.45	   0.437
9KY	    5.11	  -10.07	   0.437
AA7	  -65.22	  -78.11	   0.437
D90	   35.26	    9.67	   0.437
DF4	   56.11	    3.28	   0.437
DRF	  -15.41	  -26.21	   0.437
E3G	  102.95	   77.39	   0.437
E8O	 -158.97	 -169.00	   0.437
FTN	   -5.94	  -14.27	   0.437
HZS	  -15.18	  -27.12	   0.437
JPG	    5.78	    0.10	   0.437
JRS	  -97.73	 -109.07	   0.437
KFK	   46.04	   29.71	   0.437
N88	  -41.41	  -57.98	   0.437
NFQ	 -134.16	 -147.98	   0.437
O3S	   35.58	   18.80	   0.437
R8U	  -73.42	  -98.69	   0.437
RLJ	   22.99	    9.18	   0.437
RWN	  -89.80	 -101.03	   0.437
T2Z	  -46.59	  -65.20	   0.437
UAQ	  -41.66	  -50.97	   0.437
VTV	  -20.75	  -29.69	   0.437
YBC	    2.44	  -19.42	   0.437
ZHR	   44.51	   27.18	   0.437
ZN4	  -63.14	  -74.56	   0.437
0U5	 -114.57	 -136.85	   0.438
12C	 -135.02	 -152.48	   0.438
1BD	  -26.35	  -46.33	   0.438
1J9	  -19.19	  -42.08	   0.438
1O3	 -205.88	 -220.31	   0.438
2N8	    3.94	  -15.56	   0.438
3EY	   -5.20	  -23.34	   0.438
3OR	   21.62	    3.69	   0.438
3RH	  -52.15	  -59.62	   0.438
45F	   21.56	   13.16	   0.438
5TB	  -26.34	  -39.57	   0.438
7O8	 -142.32	 -157.20	   0.438
8YA	   38.97	   15.85	   0.438
9IM	  -32.40	  -46.52	   0.438
9RK	    9.95	    1.66	   0.438
9SD	   24.86	  -24.26	   0.438
9WM	   45.88	   -3.50	   0.438
ACK	  -74.69	 -100.28	   0.438
ADD	  -54.22	  -63.95	   0.438
AWL	   78.58	   62.45	   0.438
BSU	  -21.24	  -26.91	   0.438
GBE	   49.68	   29.52	   0.438
GHR	   65.24	   43.25	   0.438
H7B	   21.93	    2.88	   0.438
KG2	   92.28	   77.47	   0.438
N5L	   26.30	   18.99	   0.438
P8D	  -35.91	  -50.32	   0.438
QCO	   11.56	   -4.01	   0.438
RP2	  -16.32	  -34.34	   0.438
SBR	 -100.39	 -120.26	   0.438
TI3	  -13.55	  -29.44	   0.438
UOW	  -95.67	 -113.51	   0.438
V1G	  -18.90	  -40.08	   0.438
V1U	  -47.38	  -52.45	   0.438
VS1	  -50.88	  -66.91	   0.438
X9C	  -42.27	  -57.36	   0.438
XFJ	 -280.68	 -288.59	   0.438
2P7	   59.40	   -4.80	   0.439
3A7	   45.80	   31.83	   0.439
4M1	  -63.61	  -77.09	   0.439
50R	  -13.91	  -25.55	   0.439
7WV	  -42.77	  -48.50	   0.439
AL4	 -176.21	 -204.98	   0.439
C5Z	   -8.73	  -33.21	   0.439
C7K	  -54.14	  -89.46	   0.439
CDO	    5.78	  -17.53	   0.439
D3B	 -149.22	 -167.66	   0.439
D8D	   43.30	   27.99	   0.439
D8I	 -119.55	 -124.70	   0.439
DCQ	   94.65	   70.10	   0.439
FUD	   78.28	   61.41	   0.439
FYP	   47.11	   32.97	   0.439
GN8	  -42.90	  -55.72	   0.439
I51	 -162.00	 -170.19	   0.439
IO6	 -163.36	 -182.33	   0.439
JJK	  -59.45	  -69.57	   0.439
M1U	   -3.68	  -10.96	   0.439
NXD	   86.64	   57.43	   0.439
ODZ	  -43.96	  -53.68	   0.439
Q8W	   33.15	    3.08	   0.439
R7B	  -31.96	  -38.72	   0.439
RT1	  -36.04	  -58.37	   0.439
RYQ	 -139.53	 -146.33	   0.439
S7I	 -103.10	 -118.71	   0.439
SFB	 -230.74	 -263.91	   0.439
V6W	  -50.20	  -61.64	   0.439
VZC	   -2.05	  -11.20	   0.439
WBI	  -65.02	  -77.56	   0.439
XPD	   32.80	   15.69	   0.439
ZNP	  -64.47	  -71.02	   0.439
0H6	 -108.74	 -120.29	   0.440
158	  -18.52	  -37.40	   0.440
1B3	 -121.02	 -138.99	   0.440
1LG	  -34.09	  -59.70	   0.440
1LT	 -139.69	 -156.47	   0.440
3A0	   23.46	   14.34	   0.440
50H	 -149.78	 -168.37	   0.440
59F	  -36.31	  -62.81	   0.440
5K8	  -65.21	  -78.41	   0.440
5PP	  -13.75	  -18.54	   0.440
6XZ	   14.45	   -4.09	   0.440
6Z6	  -73.02	  -87.47	   0.440
8HY	    0.20	  -18.30	   0.440
8KC	   -9.95	  -26.76	   0.440
CB1	  -50.55	  -63.89	   0.440
D2T	  -17.02	  -30.37	   0.440
ECG	   -9.08	  -23.65	   0.440
FJZ	  -66.89	  -76.59	   0.440
FKL	 -124.84	 -141.52	   0.440
FLU	 -118.34	 -137.23	   0.440
FS7	 -101.02	 -122.64	   0.440
GQZ	   16.57	    5.39	   0.440
H6X	  -32.33	  -56.58	   0.440
HX8	  -23.05	  -26.87	   0.440
L8C	   80.17	   67.06	   0.440
QDE	  -40.73	  -59.93	   0.440
QO2	    8.66	   -3.44	   0.440
SFJ	   92.56	   68.30	   0.440
TZQ	   -4.66	  -12.79	   0.440
V8D	  -28.88	  -36.75	   0.440
VMB	   11.97	    0.62	   0.440
W99	  -18.21	  -42.82	   0.440
XKJ	   77.71	   62.15	   0.440
Y72	 -348.35	 -378.60	   0.440
YKE	   -3.45	  -29.51	   0.440
YT1	   53.61	   40.37	   0.440
1T8	   -6.56	  -29.06	   0.441
6L9	 -172.11	 -192.29	   0.441
8KP	 -130.67	 -137.70	   0.441
D27	  -73.15	  -92.47	   0.441
EN1	  -14.22	  -29.12	   0.441
FY1	   -9.41	  -21.76	   0.441
GDH	  -14.80	  -25.31	   0.441
GJF	  -59.83	 -110.80	   0.441
GRZ	   29.44	   11.97	   0.441
IMX	  -28.65	  -55.39	   0.441
K46	  -74.80	  -83.73	   0.441
KKQ	   44.54	   23.43	   0.441
KZ4	    5.23	  -13.22	   0.441
ME4	  -17.11	  -36.95	   0.441
MKY	 -240.67	 -267.40	   0.441
MVS	 -108.72	 -122.10	   0.441
OYP	  -32.05	  -50.63	   0.441
S3B	  -43.14	  -53.89	   0.441
SP2	    2.79	  -12.17	   0.441
UG0	  -78.34	  -84.79	   0.441
V5E	 -102.71	 -116.34	   0.441
WAE	 -133.20	 -141.50	   0.441
WPB	  -27.35	  -42.78	   0.441
XDY	  -99.54	 -119.37	   0.441
013	 -100.02	 -106.02	   0.442
1RM	  139.64	   86.36	   0.442
4C0	  -74.53	  -86.36	   0.442
4LY	 -172.64	 -196.47	   0.442
52Y	  -48.42	  -68.49	   0.442
6TY	    8.13	   -5.30	   0.442
6XT	 -179.85	 -202.57	   0.442
7YP	  -50.57	  -66.37	   0.442
83J	   99.72	   72.12	   0.442
916	  -22.62	  -37.21	   0.442
9FC	 -342.87	 -357.76	   0.442
9J8	   -9.10	  -22.17	   0.442
AF1	   66.91	   39.51	   0.442
B87	   64.54	   41.72	   0.442
B9S	  -42.89	  -68.48	   0.442
BWD	  -87.53	  -97.86	   0.442
C0A	 -207.80	 -227.99	   0.442
D6U	   31.79	   18.84	   0.442
DD6	    2.83	  -18.75	   0.442
EBY	   24.54	    6.18	   0.442
ERX	   27.50	    1.44	   0.442
IVE	   89.58	   67.29	   0.442
J19	  -62.01	  -75.67	   0.442
K9M	   45.41	   26.06	   0.442
LKJ	  101.39	   65.49	   0.442
M03	   -7.54	  -26.75	   0.442
M1O	    8.53	  -14.39	   0.442
MDC	 -100.24	 -118.97	   0.442
MDP	  -62.37	  -81.57	   0.442
MLA	 -155.24	 -169.21	   0.442
NIB	   22.65	    5.04	   0.442
NY2	  -29.59	  -61.43	   0.442
O1C	   -8.63	  -24.02	   0.442
O2Q	  -12.54	  -24.47	   0.442
P1Z	   28.34	   18.61	   0.442
QYZ	    1.30	   -6.41	   0.442
S63	  -78.46	  -93.14	   0.442
U3T	  -26.75	  -44.83	   0.442
VJ5	 -172.44	 -189.24	   0.442
VS3	  -96.92	 -112.85	   0.442
WF0	   -0.75	  -10.03	   0.442
X6U	  -76.31	  -90.30	   0.442
YWZ	   37.08	   16.87	   0.442
ZMG	  -84.89	  -94.43	   0.442
09G	   66.02	   52.71	   0.443
0YH	  -39.70	  -65.63	   0.443
435	 -215.61	 -231.40	   0.443
4XA	   54.47	   36.93	   0.443
5AQ	  -24.52	  -51.40	   0.443
5P0	    4.76	   -6.04	   0.443
5ZQ	    1.08	  -15.58	   0.443
669	  -65.23	  -85.99	   0.443
8LY	 -144.76	 -161.78	   0.443
9FN	  -30.13	  -48.81	   0.443
ASG	  -60.35	  -76.04	   0.443
B3Q	  -95.28	 -105.56	   0.443
DOA	  -37.80	  -54.82	   0.443
DR4	   75.52	   55.09	   0.443
E10	 -129.31	 -139.94	   0.443
G5W	   23.18	    5.61	   0.443
GFV	 -108.92	 -118.50	   0.443
I4D	 -184.06	 -220.65	   0.443
L19	    4.76	  -21.23	   0.443
M8A	   -8.29	  -24.38	   0.443
MDX	  -31.97	  -48.63	   0.443
OUJ	 -129.13	 -142.63	   0.443
PSK	 -158.24	 -168.65	   0.443
PWR	  -15.39	  -26.63	   0.443
Q07	  -88.57	 -106.39	   0.443
QI8	    2.57	   -5.39	   0.443
QRW	   -3.27	  -17.24	   0.443
QXN	   39.41	   28.42	   0.443
R70	  -19.77	  -32.42	   0.443
S14	   55.15	   32.01	   0.443
S4D	    7.38	   -2.16	   0.443
SOA	  -35.85	  -40.48	   0.443
TRO	   -0.05	  -11.91	   0.443
UE0	   -0.41	  -14.74	   0.443
V7J	  -30.41	  -38.26	   0.443
2ET	  -62.70	  -74.86	   0.444
2KE	 -253.00	 -280.89	   0.444
5G4	  -85.21	  -94.45	   0.444
65T	 -103.38	 -118.56	   0.444
6BV	   96.70	   73.40	   0.444
7BN	   63.65	   31.76	   0.444
7N1	 -135.41	 -149.22	   0.444
8O7	 -150.08	 -167.99	   0.444
8WR	    6.35	   -8.95	   0.444
9ZV	   24.52	   -7.43	   0.444
BA1	 -129.93	 -162.61	   0.444
BBV	   26.17	   11.63	   0.444
BYV	 -140.24	 -146.15	   0.444
CY9	   35.32	   11.59	   0.444
DJN	   35.58	   23.93	   0.444
HXK	  -81.20	  -99.68	   0.444
I0V	  -45.39	  -58.43	   0.444
JFP	  -81.73	  -92.39	   0.444
JV9	  -52.15	  -69.36	   0.444
KMA	 -147.32	 -154.32	   0.444
KXS	   33.21	   23.58	   0.444
LVT	 -363.12	 -405.24	   0.444
Q6L	22724.43	  448.42	   0.444
RA3	  -29.06	  -52.63	   0.444
S71	 -282.83	 -291.66	   0.444
XYB	   88.83	   68.61	   0.444
0KB	 -187.36	 -203.34	   0.445
1J3	  105.43	   73.31	   0.445
3D2	   -9.05	  -17.14	   0.445
60N	 -144.74	 -160.24	   0.445
6DQ	  -38.67	  -45.29	   0.445
7SW	 3073.79	   61.11	   0.445
8PW	   45.51	   16.39	   0.445
9DQ	  -25.95	  -34.85	   0.445
9JP	  -81.42	  -95.84	   0.445
B3A	  -65.82	  -78.12	   0.445
EYJ	  -31.54	  -51.89	   0.445
EZF	  -11.95	  -34.21	   0.445
FEF	   37.94	   16.67	   0.445
GU6	 -220.47	 -237.65	   0.445
HOF	  -24.20	  -38.86	   0.445
IFV	  -98.99	 -109.90	   0.445
IWJ	    7.87	  -19.51	   0.445
M4R	 -129.66	 -139.74	   0.445
MK3	 -190.14	 -203.21	   0.445
PH7	  -22.09	  -34.70	   0.445
QTU	  -36.55	  -48.78	   0.445
UO2	   23.68	    5.83	   0.445
VM4	  -77.83	  -96.88	   0.445
VYU	   32.23	   14.22	   0.445
XNM	  -31.05	  -47.78	   0.445
XY5	   -2.75	  -17.71	   0.445
XY9	 -226.56	 -238.49	   0.445
YC0	 3316.92	   96.10	   0.445
0G1	   34.82	    6.16	   0.446
1BE	  -37.91	  -67.99	   0.446
24L	 -218.38	 -254.33	   0.446
3DZ	    4.00	  -10.69	   0.446
5EY	  -60.07	  -86.19	   0.446
6WV	  -21.09	  -39.49	   0.446
6X5	    5.38	  -14.46	   0.446
A0S	   20.81	    7.48	   0.446
B29	 -191.78	 -218.48	   0.446
B5E	  -19.71	  -28.68	   0.446
CHC	   -4.53	  -36.46	   0.446
DIR	 -124.79	 -138.87	   0.446
EKN	  -45.67	  -58.38	   0.446
H6T	  -47.91	  -68.12	   0.446
HXP	  -93.09	 -113.39	   0.446
I9N	   23.23	   -2.71	   0.446
IFR	  -77.98	  -93.49	   0.446
IL9	  -11.80	  -38.36	   0.446
IMV	    3.80	   -7.75	   0.446
IOM	 -211.07	 -229.26	   0.446
JGL	 -149.65	 -166.53	   0.446
LAB	  -62.56	  -79.58	   0.446
LKS	  -59.64	  -73.77	   0.446
LOJ	  -29.56	  -44.34	   0.446
M3U	  -23.26	  -47.18	   0.446
MN0	  134.54	  100.52	   0.446
MZA	   17.69	   -6.03	   0.446
NH7	   46.31	   29.59	   0.446
NMY	  287.54	  238.85	   0.446
O5U	  -79.65	 -110.78	   0.446
PR3	   33.14	   27.15	   0.446
RI7	   -3.62	  -20.89	   0.446
W5Z	  -20.56	  -25.39	   0.446
WGL	 -118.77	 -138.50	   0.446
X42	 -357.59	 -379.19	   0.446
X87	 -267.39	 -281.97	   0.446
YLQ	  -58.17	  -80.43	   0.446
YXP	  -53.28	  -65.90	   0.446
Z14	 -302.12	 -320.37	   0.446
ZI6	  -21.58	  -38.04	   0.446
ZZM	  -84.23	  -95.69	   0.446
17L	 -197.65	 -221.23	   0.447
1J0	   14.71	  -20.35	   0.447
2OE	  -85.87	  -91.59	   0.447
2S2	  -40.87	  -49.81	   0.447
2YJ	   22.58	    8.78	   0.447
433	  -29.08	  -45.72	   0.447
68H	  -39.05	  -46.91	   0.447
6NP	   65.24	   46.25	   0.447
8DQ	  -20.62	  -34.52	   0.447
8VJ	 -118.03	 -127.28	   0.447
958	 -168.93	 -182.71	   0.447
9TM	   48.14	   -5.01	   0.447
AS6	 -141.36	 -164.07	   0.447
BSB	 -118.91	 -133.54	   0.447
D84	   -0.66	  -26.07	   0.447
DEJ	  -76.85	  -92.98	   0.447
DHY	  -60.34	  -76.86	   0.447
DZW	  -37.09	  -45.34	   0.447
EC8	  -17.91	  -32.72	   0.447
FSS	 -106.90	 -127.81	   0.447
H36	 -286.62	 -305.08	   0.447
IKB	  -97.58	 -111.54	   0.447
JOK	  -22.96	  -38.51	   0.447
K1T	  -62.12	  -75.76	   0.447
LFK	  -61.94	  -69.47	   0.447
M3F	  -59.33	  -66.63	   0.447
NWD	 -137.21	 -151.13	   0.447
ONV	  -75.49	  -94.94	   0.447
P91	  -19.12	  -43.02	   0.447
Q9T	   -1.67	  -11.28	   0.447
QC2	  -47.75	  -60.49	   0.447
QH7	   -3.38	  -11.04	   0.447
R38	  -55.49	  -68.08	   0.447
R8N	  -75.93	  -91.87	   0.447
RA8	 -290.70	 -316.67	   0.447
RBS	  -50.77	  -64.95	   0.447
RLL	   32.71	   16.81	   0.447
RTJ	  -23.20	  -43.49	   0.447
T4B	   21.48	   -2.96	   0.447
TO6	  -75.86	  -95.89	   0.447
V21	 -100.83	 -132.61	   0.447
W4T	  -57.55	  -68.46	   0.447
WPJ	 -184.26	 -201.46	   0.447
XB7	  -84.54	  -96.44	   0.447
XO1	   58.55	   34.83	   0.447
XT5	   -4.20	  -13.31	   0.447
ZUP	 -242.08	 -253.04	   0.447
19Q	   26.34	   13.67	   0.448
2JX	  -42.24	  -51.38	   0.448
2P3	  -42.16	  -51.29	   0.448
3RW	   14.49	   -6.57	   0.448
7DY	  -47.76	  -60.54	   0.448
85M	  -37.26	  -53.63	   0.448
CGI	  -54.42	  -67.10	   0.448
CRM	 -106.01	 -145.85	   0.448
DZU	   60.90	   33.53	   0.448
FHM	   36.29	   20.36	   0.448
FTJ	   30.08	   15.77	   0.448
GD7	  -34.82	  -38.06	   0.448
GIT	  -76.47	  -85.95	   0.448
GZO	  -94.00	 -112.73	   0.448
IP1	  -49.22	  -66.97	   0.448
ISL	  149.00	  119.46	   0.448
J0A	 -257.79	 -299.41	   0.448
KMD	 -140.55	 -150.95	   0.448
MFV	    7.15	  -10.47	   0.448
P16	  -96.88	 -111.36	   0.448
PI7	    9.66	  -17.00	   0.448
R5R	   36.71	   21.51	   0.448
RE1	 -219.39	 -237.48	   0.448
TAJ	 4964.12	  366.13	   0.448
TV5	  -35.30	  -49.31	   0.448
UZZ	 -319.97	 -346.24	   0.448
V5U	    0.32	  -25.40	   0.448
VEX	   11.10	    2.78	   0.448
XU4	  -58.86	  -70.22	   0.448
ZO0	   35.83	   18.77	   0.448
020	  -49.74	  -59.75	   0.449
0VI	  -40.08	  -64.65	   0.449
1DD	  -31.19	  -40.77	   0.449
27G	    9.06	    1.75	   0.449
2OX	   53.45	   39.03	   0.449
3E8	   45.28	   26.72	   0.449
4P1	    2.34	  -11.95	   0.449
64L	  -91.76	 -118.78	   0.449
66R	  106.90	   80.89	   0.449
7TN	 -171.37	 -184.20	   0.449
92W	   21.57	   -0.21	   0.449
AKE	   59.51	   41.08	   0.449
AQ1	 -224.61	 -234.93	   0.449
BGW	   18.90	   -9.97	   0.449
CHD	  -20.63	  -50.91	   0.449
DTC	  -97.84	 -109.22	   0.449
EXA	 -293.85	 -330.69	   0.449
F11	  -66.20	  -78.77	   0.449
HC8	  -60.37	  -76.51	   0.449
I68	 -142.17	 -157.44	   0.449
KBK	  -86.47	 -108.78	   0.449
KID	  -94.41	 -110.81	   0.449
KMJ	 -131.98	 -139.70	   0.449
KTA	   -2.42	  -16.58	   0.449
NMV	 -188.01	 -197.12	   0.449
O8F	 -102.58	 -123.51	   0.449
P6V	   22.31	   12.43	   0.449
PK6	  -99.96	 -109.23	   0.449
PVN	 -137.08	 -165.52	   0.449
Q5E	  -15.18	  -43.45	   0.449
QM2	  -35.75	  -45.46	   0.449
RK1	   28.09	   15.29	   0.449
SIO	  108.17	   74.57	   0.449
SRF	   33.56	   13.54	   0.449
UJC	  -36.19	  -50.05	   0.449
W2Y	 -102.70	 -117.71	   0.449
WUQ	  -11.62	  -23.51	   0.449
XJ4	  -47.20	  -63.48	   0.449
Y2F	 -105.00	 -115.73	   0.449
ZUI	  -95.57	 -107.63	   0.449
0F4	 -107.59	 -121.20	   0.450
11W	  -55.34	  -73.66	   0.450
1Q9	   -5.02	 -358.07	   0.450
41P	 -148.12	 -172.61	   0.450
58J	    0.62	  -13.49	   0.450
5J9	 -253.22	 -270.54	   0.450
5VR	   40.47	   21.94	   0.450
6LE	   15.89	   10.45	   0.450
851	   77.39	   57.73	   0.450
8F0	    7.53	   -9.96	   0.450
8GZ	   16.87	   12.51	   0.450
8WJ	  -23.29	  -45.81	   0.450
93T	  -24.02	  -56.00	   0.450
AK7	 -199.43	 -212.07	   0.450
BY8	  -57.30	  -71.11	   0.450
CEL	  -75.78	  -93.05	   0.450
DJE	   11.55	  -11.93	   0.450
DQS	   -3.30	  -36.95	   0.450
EAT	   47.14	   36.03	   0.450
F87	  -32.33	  -53.93	   0.450
I9Z	   -2.32	  -11.27	   0.450
IUY	   -9.71	  -20.95	   0.450
J4H	  -87.02	 -109.68	   0.450
JDS	   -5.78	  -20.75	   0.450
JFI	   21.64	    7.31	   0.450
K0G	  -20.67	  -27.54	   0.450
M0I	   -4.69	  -25.67	   0.450
M0K	  -87.04	  -94.35	   0.450
MAO	   29.56	    9.84	   0.450
N61	  -85.48	  -98.91	   0.450
PLH	    0.99	  -13.39	   0.450
R8E	 -152.47	 -165.30	   0.450
RF9	    9.20	   -0.93	   0.450
S4Q	  -54.07	  -69.39	   0.450
SHF	   -3.93	  -22.66	   0.450
STV	  -81.48	  -95.83	   0.450
UWR	   18.59	   13.87	   0.450
V50	 -139.75	 -157.37	   0.450
WDO	  -45.24	  -78.52	   0.450
WNH	  -14.21	  -25.91	   0.450
Y2D	  -28.39	  -40.93	   0.450
ZVZ	  -16.57	  -35.24	   0.450
00K	   60.60	   39.33	   0.451
0C4	 -199.10	 -210.45	   0.451
30E	   82.24	   44.89	   0.451
3G1	  -48.67	  -63.45	   0.451
3PJ	    2.70	  -16.37	   0.451
45I	 -234.32	 -253.43	   0.451
49T	    0.05	  -15.09	   0.451
95O	   24.77	    3.14	   0.451
95Y	 -277.47	 -296.95	   0.451
9ZP	   30.26	  -10.24	   0.451
C00	   -8.52	  -15.43	   0.451
CT6	  -54.52	  -70.30	   0.451
DRV	 -102.09	 -128.44	   0.451
DRY	  -10.05	  -26.77	   0.451
E26	  -68.29	  -83.89	   0.451
F56	 -143.81	 -153.25	   0.451
H1U	    7.08	   -2.76	   0.451
HSG	   64.91	   45.47	   0.451
IM3	   -3.57	  -17.90	   0.451
IYD	  -29.53	  -57.55	   0.451
IZ1	 -124.52	 -148.30	   0.451
K75	 -346.06	 -358.98	   0.451
KDJ	-1589.10	-1667.97	   0.451
L1G	   -2.15	  -31.55	   0.451
LGZ	  -29.15	  -60.24	   0.451
OHD	   -4.92	  -18.95	   0.451
OUZ	   59.96	   49.38	   0.451
RVY	   -5.26	  -24.22	   0.451
SC7	  -23.37	  -40.16	   0.451
UPL	   10.59	    3.58	   0.451
UTY	   26.37	    1.87	   0.451
VK1	 -165.19	 -207.66	   0.451
VLY	  -55.04	  -73.24	   0.451
VP6	  -56.98	  -77.36	   0.451
WDG	 -140.81	 -168.16	   0.451
X20	  -57.62	  -97.95	   0.451
Y3Y	  -40.64	  -56.53	   0.451
ZRZ	   -7.73	  -25.17	   0.451
0I5	   -4.96	  -22.45	   0.452
0KT	  -27.06	  -41.85	   0.452
31O	   16.17	    3.70	   0.452
4Z2	  -78.80	  -92.07	   0.452
5KV	 -209.06	 -229.68	   0.452
75N	 -120.68	 -138.29	   0.452
